楷飞喊,荤噶犬伏(咯磊) (%),荤噶犬伏(巢磊) (%)
0技,0.00214,0.00268
1技,0.00014,0.00023
2技,0.00014,0.00015
3技,0.00013,0.00011
4技,0.00011,0.00009
5技,0.00009,0.00009
6技,0.00007,0.00009
7技,0.00006,0.00008
8技,0.00006,0.00006
9技,0.00006,0.00006
10技,0.00007,0.00006
11技,0.00008,0.00007
12技,0.0001,0.0001
13技,0.00012,0.00013
14技,0.00015,0.00016
15技,0.00018,0.0002
16技,0.0002,0.00023
17技,0.00021,0.00027
18技,0.00022,0.0003
19技,0.00023,0.00034
20技,0.00024,0.00038
21技,0.00026,0.00042
22技,0.00027,0.00045
23技,0.0003,0.00047
24技,0.00032,0.00048
25技,0.00033,0.00052
26技,0.00033,0.00056
27技,0.00032,0.00061
28技,0.00033,0.00065
29技,0.00036,0.00066
30技,0.00039,0.00067
31技,0.00042,0.00068
32技,0.00043,0.00069
33技,0.00044,0.0007
34技,0.00046,0.00072
35技,0.00048,0.00078
36技,0.00051,0.00086
37技,0.00055,0.00094
38技,0.0006,0.00102
39技,0.00066,0.00109
40技,0.00072,0.00116
41技,0.00077,0.00124
42技,0.00081,0.00136
43技,0.00085,0.0015
44技,0.0009,0.00162
45技,0.00096,0.00172
46技,0.00103,0.00184
47技,0.00111,0.00201
48技,0.00118,0.00223
49技,0.00123,0.0025
50技,0.00126,0.00276
51技,0.00133,0.00301
52技,0.00143,0.00328
53技,0.00158,0.00357
54技,0.00172,0.00391
55技,0.00183,0.0043
56技,0.00191,0.00472
57技,0.00197,0.00514
58技,0.00205,0.00553
59技,0.00217,0.00591
60技,0.00233,0.00637
61技,0.00255,0.00694
62技,0.0028,0.00758
63技,0.00304,0.00823
64技,0.00324,0.0089
65技,0.00348,0.00966
66技,0.00382,0.01057
67技,0.00424,0.01161
68技,0.00478,0.01278
69技,0.00544,0.01413
70技,0.00619,0.01572
71技,0.00709,0.01759
72技,0.00808,0.0196
73技,0.00921,0.02194
74技,0.01035,0.02426
75技,0.01175,0.02679
76技,0.01358,0.0297
77技,0.01602,0.03343
78技,0.01921,0.03845
79技,0.02303,0.04469
80技,0.02741,0.0521
81技,0.03231,0.06036
82技,0.03787,0.06923
83技,0.04438,0.07867
84技,0.05157,0.08825
85技,0.05991,0.09971
86技,0.06928,0.11224
87技,0.07971,0.12586
88技,0.09128,0.1406
89技,0.10401,0.15649
90技,0.11794,0.17351
91技,0.1331,0.19166
92技,0.14946,0.21091
93技,0.16703,0.23123
94技,0.18576,0.25255
95技,0.20559,0.2748
96技,0.22642,0.29789
97技,0.24816,0.32171
98技,0.27066,0.34612
99技,0.29378,0.37099
100技捞惑,1,1
